Año	Mes	Tipo	ESFS	% Indicador	Resultado	Situación de la Línea	Fecha de Activación Clausula 13	Año de Activación Clausula 13	Exposición Activación Clausula 13S/ M	Fecha Inicio Visita	Fecha Fin Visita	Expedientes	Estado Visita	Informe Final	Fecha Final	Días de visita	Dias hasta el informe final
2025	Marzo	Empresa de Crédito	EC Vívela	100.0%	Bueno	Vigente (en proceso de Adecuación)				03/02/2025	14/02/2025	345	Realizado	Informe N°03-2025-FMV/DRCSC	30/03/2025	11	44
2025	Marzo	Financiera	Financiera Santander Consumer	93.4%	Bueno	Vigente				14/07/2025	18/07/2025	53	Pendiente				
2025	Marzo	Financiera	Financiera Efectiva	93.4%	Bueno	Vigente							No Programado				
2025	Marzo	Financiera	Financiera Confianza	Sin Cartera	N.A	Vigente							No Programado				
2025	Marzo	Financiera	Financiera Credinka (*)	Sin Cartera	N.A	Activación de Clausula 13	30/7/24	2024	11,979				No Programado				
2025	Marzo	Financiera	 Financiera TFC	Sin Cartera	N.A	Activación de Clausula 13	12/12/19	2019	220,551				No Programado				
2025	Marzo	CAC	CAC La Rehabilitadora (*)	87.8%	Bueno	Suspendida				17/11/2025	20/11/2025	12	Pendiente				
2025	Marzo	CAC	CAC San Martin de Porres	81.3%	Bueno	Suspendida							No Programado				
2025	Marzo	CAC	CAC AELU (*)	Sin Cartera	N.A	Activación de Clausula 13	19/8/21	2021	1,798				No Programado				
2025	Marzo	CAC	CAC Santa Maria Magdalena (*)	Sin Cartera	N.A	Activación de Clausula 13	7/1/22	2022	146				No Programado				
2025	Marzo	CAC	CAC Quillacoop (*)	Sin Cartera	N.A	Activación de Clausula 13	9/6/20	2020	463				No Programado				
2025	Marzo	CAC	CAC Pacifico	Sin Cartera	N.A	Activación de Clausula 13	26/7/23	2023	32,805				No Programado				
2025	Marzo	CAC	CAC San Francisco	Sin Cartera	N.A	Activación de Clausula 13	17/6/21	2021	1,264				No Programado				
2025	Marzo	CAC	CAC PrestaPerú	Sin Cartera	N.A	Activación de Clausula 13	28/9/18	2018	51,116				No Programado				
			
